[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,43,35,37,37,38,13,21,20,14,5,12,16,16,15,47,32,31,28,28,48,12,14,19,20,12,4,11,14,15,"13
",63,39,32,31,30,59,15,17,22,26,17,5,15,19,20,20,30,23,18,17,15,31,8,"9
",14,13,8,3,8,9,11,11,38,28,23,23,22,49,11,12,15,17,11,4,13,13,15,"13
",3,5,3,3,2,5,2,3,4,9,6,1,2,2,3,2,4,5,4,4,4,5,5,"5
",8,12,9,1,6,9,13,9,11,8,8,8,9,9,6,6,7,10,7,2,9,16,17,"16
",11,11,10,10,11,10,12,12,13,16,11,2,9,18,18,15,7,8,6,7,8,6,7,"7
",7,9,6,1,7,10,11,11,13,14,15,11,15,13,12,16,21,26,17,3,12,17,18,"19
",7,7,7,7,7,7,8,8,12,15,10,2,12,17,16,14,10,11,13,10,11,10,14,"17
",20,26,16,2,9,13,13,13,7,7,9,8,11,8,9,9,13,16,12,1,6,10,11,"10
",14,15,15,13,16,12,10,11,18,24,16,3,11,17,17,14,6,8,11,9,9,7,8,"6
",6,9,6,1,7,9,14,10,11,13,19,15,16,14,19,16,17,26,17,3,14,15,20,"16
",8,10,15,12,13,10,12,8,10,13,9,2,10,10,13,12,9,11,15,12,13,13,16,"10
",16,22,16,3,11,14,20,20,8,10,15,13,13,11,11,8,13,15,11,2,9,12,15,"18
",10,12,13,17,17,11,14,12,11,17,11,2,10,13,13,15,4,5,5,6,6,4,7,"6
",5,8,5,1,5,6,8,9,11,11,14,14,16,11,16,14,13,18,12,2,14,13,17,"19
",9,10,12,13,14,9,15,13,12,16,11,2,12,12,15,15,9,10,13,12,13,10,14,"12
",11,17,12,2,12,12,15,17,8,10,12,10,9,9,9,9,11,17,12,2,11,10,13,"12
",11,13,17,14,10,10,8,9,13,16,11,2,10,10,13,12,8,9,11,10,8,11,8,"9
",10,14,10,2,8,11,17,16,11,12,15,12,10,12,9,10,12,16,13,2,10,13,17,"16
",5,6,7,6,5,6,5,5,6,9,7,1,5,7,13,12,1,1,1,1,1,1,2,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,42,35,38,37,40,14,21,20,14,5,12,16,16,17,47,32,31,28,26,48,12,13,19,20,12,4,10,13,13,"13
",63,39,32,32,31,59,15,18,22,25,16,5,15,20,20,21,30,23,18,17,15,32,8,"10
",12,14,8,3,8,9,10,11,39,29,24,22,22,50,12,12,16,18,11,4,11,13,15,"14
",3,3,3,2,2,3,2,3,4,8,6,1,2,2,2,2,4,6,4,6,4,5,4,"5
",7,12,9,1,6,8,12,10,9,8,8,8,9,8,6,8,7,10,7,2,8,15,16,"15
",12,10,9,10,11,10,11,12,12,15,11,2,9,18,18,15,7,7,8,7,8,6,7,"7
",7,9,6,1,7,10,12,11,13,14,15,11,15,12,12,16,21,26,17,3,12,16,17,"19
",6,9,7,6,7,7,8,9,12,15,11,2,12,16,15,14,10,11,13,10,12,10,14,"16
",19,26,16,2,10,15,14,15,7,9,9,8,11,8,9,10,13,17,11,2,7,10,10,"10
",14,16,15,13,16,12,11,11,18,24,17,3,13,17,17,14,6,8,11,8,9,7,8,"6
",6,10,6,2,7,9,14,10,11,13,20,16,16,14,19,16,16,26,17,3,15,15,20,"16
",8,10,15,12,12,10,12,8,10,13,9,2,11,11,13,12,9,11,15,12,13,14,16,"10
",16,22,16,3,12,15,21,21,9,10,15,13,13,11,11,8,12,16,11,2,9,11,16,"18
",11,11,13,18,17,11,15,12,12,17,11,2,12,13,13,14,4,5,5,6,6,4,8,"6
",5,8,5,1,5,6,8,10,10,11,13,15,16,11,16,14,12,19,13,2,14,13,18,"20
",9,10,13,12,15,10,16,14,10,17,10,2,12,11,15,15,10,10,12,12,13,10,14,"13
",11,18,13,2,12,13,15,16,9,10,13,11,9,10,9,10,11,16,11,2,11,10,12,"11
",12,13,16,12,10,11,8,9,12,16,11,2,11,10,13,12,10,9,11,9,9,10,9,"10
",10,14,10,2,9,12,17,16,11,12,14,12,10,12,9,10,12,16,13,2,10,13,17,"17
",6,6,7,6,5,6,5,5,7,8,7,1,5,8,15,14,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,53,50,49,45,49,16,24,23,17,6,14,19,18,19,61,49,54,48,46,74,19,19,24,25,17,6,15,19,19,"19
",80,61,57,55,53,87,23,24,29,32,22,8,20,24,25,26,36,31,32,28,26,43,11,"13
",16,18,11,4,10,10,14,15,48,37,33,32,32,59,14,16,18,20,14,5,13,16,17,"16
",3,4,3,3,2,3,2,3,4,8,6,1,2,2,2,3,4,4,4,4,4,5,4,"5
",7,12,8,1,6,8,11,9,9,10,9,8,9,8,6,7,8,10,7,2,9,15,16,"15
",11,10,10,10,11,10,10,13,12,15,11,2,9,18,18,15,7,7,6,7,8,7,7,"7
",7,9,6,1,6,10,12,10,13,14,15,13,15,13,12,16,22,26,17,3,13,16,19,"19
",6,7,7,6,7,7,7,8,12,15,10,2,12,16,15,14,10,11,13,10,11,10,14,"16
",19,26,17,2,10,13,13,14,7,7,9,9,11,8,8,9,13,16,12,2,7,10,10,"10
",14,15,15,13,15,13,10,11,18,24,17,3,12,17,16,14,8,8,11,9,9,8,8,"6
",6,9,6,2,7,10,14,11,11,14,19,16,16,14,19,16,16,25,17,3,14,15,18,"16
",10,10,15,12,14,10,12,8,10,13,9,2,10,10,14,12,9,11,15,13,13,13,16,"10
",16,21,16,3,12,15,20,20,9,10,14,12,13,11,12,8,11,15,11,2,8,11,15,"18
",12,12,13,17,17,12,15,12,11,17,10,2,10,12,13,15,4,5,5,6,6,6,7,"5
",5,8,5,1,5,6,8,9,10,12,13,15,16,11,16,14,12,18,13,3,15,13,18,"19
",9,10,12,12,14,10,15,13,10,16,10,2,12,11,15,15,9,11,12,13,13,11,15,"12
",11,17,12,2,13,12,15,17,9,10,12,10,10,10,9,9,11,16,12,2,12,10,11,"12
",11,13,16,12,10,12,9,9,14,16,11,2,11,10,13,12,8,9,11,9,9,10,9,"9
",10,14,10,2,9,11,17,16,11,13,14,12,10,12,9,10,13,16,13,2,10,14,18,"17
",6,6,7,7,5,6,5,5,6,8,7,1,6,8,13,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,61,53,50,50,46,49,16,23,24,16,6,14,19,19,19,59,51,58,49,48,76,19,20,26,27,18,6,15,19,20,"20
",81,62,59,56,55,89,23,24,29,32,23,8,19,23,25,27,40,33,33,30,29,46,13,"14
",16,18,11,4,10,12,14,15,50,38,35,33,33,59,15,16,18,19,14,5,13,15,17,"16
",3,3,3,2,2,3,2,3,4,8,6,1,2,2,2,2,4,4,5,4,4,4,5,"6
",7,12,9,1,5,8,12,10,9,8,8,8,9,8,6,7,7,10,7,2,8,15,17,"15
",11,10,10,10,11,11,10,12,12,15,11,2,9,18,18,15,7,7,6,8,8,6,7,"7
",7,9,6,1,6,10,11,10,13,14,15,12,15,13,12,16,22,26,17,3,13,16,17,"19
",6,7,7,7,8,7,7,9,12,15,10,2,14,16,15,14,10,11,13,10,12,10,14,"16
",20,26,16,2,9,13,13,13,7,8,9,8,12,9,10,10,13,16,11,2,7,10,10,"11
",14,15,15,13,16,13,11,12,18,24,18,3,12,17,16,15,6,8,11,9,9,8,8,"6
",6,9,6,1,8,9,14,10,11,14,19,15,17,14,19,17,17,25,17,3,14,15,20,"17
",8,10,15,12,13,11,12,9,10,14,9,2,10,11,14,12,10,11,15,12,14,14,16,"11
",16,22,16,2,11,16,21,20,9,10,14,13,13,11,12,8,12,15,10,2,9,11,15,"18
",10,12,13,17,17,13,15,13,11,17,10,2,12,14,13,15,4,4,6,6,6,5,8,"6
",5,8,5,1,5,6,8,10,11,11,14,14,16,12,16,15,12,18,12,2,15,13,17,"19
",9,10,12,12,14,9,15,13,10,16,10,2,12,11,15,15,10,10,12,12,13,10,14,"12
",11,17,13,2,13,11,15,17,8,10,12,11,9,11,9,9,11,16,11,2,11,11,12,"11
",12,13,16,12,11,11,8,9,12,16,11,2,10,10,12,11,9,9,11,9,10,10,8,"9
",10,14,10,2,9,13,17,16,11,12,14,12,10,12,9,10,13,16,13,2,10,12,17,"16
",5,6,7,6,5,6,5,6,6,8,7,1,5,7,13,12,1,1,1,1,1,1,1,"1
",1,1,2,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,54,51,50,48,50,16,23,23,16,6,14,19,18,19,62,51,55,49,50,76,19,20,23,26,17,6,13,19,18,"19
",81,62,60,56,55,91,22,23,28,32,22,8,19,25,25,26,45,35,35,31,31,49,13,"14
",16,19,11,4,11,12,16,15,52,40,35,34,35,60,14,16,18,21,14,5,13,16,17,"16
",3,3,2,5,2,2,3,3,4,9,6,1,2,2,2,2,4,4,4,4,4,4,4,"6
",7,13,9,1,6,8,13,10,9,9,8,9,9,8,6,6,7,10,7,2,9,15,17,"15
",11,10,9,10,11,10,11,12,12,15,11,2,9,18,18,15,7,7,6,7,8,6,7,"7
",7,9,6,1,6,10,11,10,13,14,15,12,15,12,12,16,21,26,17,3,12,16,17,"19
",6,7,7,6,7,7,7,8,12,15,10,2,12,16,15,14,10,11,14,10,11,10,13,"16
",19,26,16,2,9,13,13,13,7,7,9,8,11,8,8,9,13,16,12,1,6,10,10,"10
",16,15,15,13,15,12,10,11,18,24,16,3,11,17,17,14,6,8,11,8,9,7,8,"6
",6,9,6,1,7,9,14,10,11,13,19,15,16,14,19,17,16,25,17,3,14,15,18,"16
",8,10,15,12,12,11,12,9,10,13,9,2,10,10,13,12,9,11,15,12,13,13,16,"11
",16,21,16,2,11,15,20,21,8,10,14,12,13,10,11,9,12,15,10,2,8,11,15,"18
",10,12,13,17,17,13,15,12,11,18,12,2,10,13,14,15,4,4,5,6,6,5,7,"6
",5,8,5,1,5,6,8,9,10,12,13,15,16,11,16,15,12,18,12,3,15,14,18,"20
",9,10,12,12,14,10,15,13,10,16,11,2,12,11,15,15,10,11,12,12,15,10,14,"12
",11,17,13,2,12,12,15,17,8,10,12,10,9,9,9,9,11,16,12,2,12,10,11,"11
",12,14,16,12,10,11,8,10,12,16,13,2,10,11,12,12,8,9,11,10,9,10,8,"9
",11,14,10,2,9,11,17,16,11,12,15,12,11,12,9,10,12,16,14,3,10,13,17,"17
",5,6,7,6,5,6,5,5,6,9,7,1,5,8,14,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,54,52,51,48,50,17,23,23,17,6,14,19,19,19,62,52,55,50,49,76,19,21,25,26,18,6,15,18,19,"20
",82,63,59,57,55,91,23,25,29,32,22,8,19,25,26,26,42,35,36,31,31,49,13,"15
",16,18,12,5,10,14,15,15,52,39,36,34,34,60,15,16,19,21,14,5,13,16,18,"17
",3,3,3,2,2,3,2,3,4,10,6,1,2,2,2,2,4,4,4,5,4,5,5,"6
",7,13,9,1,7,10,15,10,10,8,8,8,9,8,7,6,7,10,7,2,8,15,17,"15
",11,10,9,10,11,10,10,12,12,15,11,2,10,18,18,15,7,7,6,7,8,6,7,"7
",7,9,6,1,6,10,11,10,13,14,15,11,15,12,12,16,21,26,18,3,12,17,17,"20
",6,7,7,6,7,7,7,8,12,15,10,2,12,17,15,14,10,11,13,10,11,10,14,"18
",20,26,18,2,10,13,13,13,8,8,9,8,11,8,8,9,13,16,12,2,6,10,10,"10
",14,15,16,13,15,12,10,12,18,24,17,3,11,17,17,15,6,9,11,8,9,7,8,"6
",6,9,7,2,7,9,14,10,11,13,19,15,16,14,19,16,16,25,17,3,14,15,18,"16
",9,10,15,12,12,11,12,10,10,14,9,3,10,11,13,12,10,11,15,13,13,13,16,"12
",16,21,16,3,12,15,20,20,9,10,14,13,13,11,12,9,11,15,10,2,9,11,16,"19
",11,12,14,17,18,12,16,13,11,18,11,2,10,13,14,15,4,5,5,6,6,6,8,"6
",5,8,5,1,5,8,8,11,10,13,15,14,16,12,16,15,12,19,13,3,14,14,18,"20
",9,10,12,12,14,10,16,13,10,17,10,2,12,11,15,15,10,10,12,12,13,10,15,"12
",11,17,13,2,13,12,15,17,8,10,12,10,9,9,9,9,11,16,12,2,12,10,13,"11
",12,13,16,12,11,11,8,10,12,17,11,2,11,10,12,12,8,9,11,10,8,10,9,"9
",10,14,10,2,9,12,18,16,11,13,14,12,11,12,9,10,12,16,14,2,11,13,19,"16
",5,6,8,6,7,6,5,6,6,9,7,1,6,7,13,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,59,54,51,51,47,50,17,22,23,17,6,14,20,19,18,62,52,56,51,50,78,19,20,25,24,18,6,15,20,20,"20
",82,62,60,56,55,91,23,24,29,32,22,8,20,25,25,26,43,35,36,32,31,51,13,"12
",17,20,12,4,11,13,14,15,53,40,36,35,35,61,15,16,19,20,14,5,14,16,19,"16
",3,3,2,2,3,2,2,3,4,8,6,1,3,3,3,2,4,4,5,5,5,5,6,"6
",8,12,8,1,7,10,12,9,9,9,8,8,9,9,6,6,7,10,7,2,9,15,17,"15
",11,10,9,10,11,10,10,12,12,15,12,2,9,18,19,15,7,7,6,7,8,6,7,"7
",7,9,6,1,7,10,11,10,14,14,15,13,15,12,12,16,21,26,17,3,13,16,17,"19
",6,7,7,6,7,7,7,8,12,15,11,2,13,16,15,14,11,11,13,10,13,10,13,"16
",21,26,17,2,10,13,13,13,7,8,9,8,11,8,8,9,13,16,11,2,7,10,10,"10
",14,15,15,13,15,12,11,12,18,24,17,3,13,17,17,15,6,11,11,9,9,7,8,"6
",6,9,6,1,7,9,14,10,11,13,19,16,16,14,19,17,16,25,17,3,14,15,18,"16
",9,10,15,12,12,10,12,9,10,13,9,2,10,10,13,12,10,11,15,13,13,13,16,"11
",16,21,16,3,11,14,20,20,8,10,14,14,13,11,12,9,12,16,12,2,9,11,16,"18
",10,11,14,17,17,12,16,13,11,18,12,2,11,13,14,15,5,4,6,6,6,5,8,"6
",5,10,6,1,5,7,10,12,11,12,14,14,16,12,17,15,12,19,13,3,15,14,18,"20
",9,10,12,12,14,10,16,14,10,17,11,2,12,11,15,15,9,10,12,12,13,10,14,"12
",11,18,14,2,13,12,15,16,9,10,12,10,10,9,9,10,11,16,13,2,12,10,11,"11
",13,13,17,14,11,12,8,10,12,16,12,2,11,10,12,11,9,9,11,10,9,10,9,"9
",10,14,10,2,8,12,19,16,11,13,16,12,12,13,10,11,13,16,14,2,11,13,18,"16
",6,6,7,6,6,6,5,5,6,9,7,1,6,7,14,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,60,54,51,52,48,50,17,23,24,17,6,14,21,19,19,64,53,56,51,50,77,19,20,24,27,18,7,16,18,20,"20
",82,62,60,57,55,91,23,24,29,32,22,8,19,24,25,27,43,35,36,33,31,50,13,"13
",15,19,12,4,11,13,14,15,53,40,36,35,35,61,15,17,19,21,15,5,13,15,17,"14
",3,3,3,2,2,3,3,3,4,10,7,1,2,2,3,2,4,5,6,5,5,4,5,"6
",7,13,9,1,7,8,14,9,9,9,8,8,9,9,6,6,7,10,7,2,9,15,17,"15
",11,10,9,10,11,10,10,12,12,15,11,2,9,18,18,15,7,7,6,7,8,6,7,"7
",7,9,6,1,6,10,12,10,16,14,15,12,15,13,13,16,21,26,17,3,13,16,17,"19
",6,7,7,6,7,7,7,8,12,15,10,2,14,16,16,14,10,11,13,10,11,10,14,"16
",20,26,17,2,10,13,13,13,7,7,9,8,11,9,10,9,13,16,12,1,7,10,10,"10
",14,16,16,14,16,13,11,12,19,24,17,3,13,17,17,15,7,8,11,8,9,7,8,"6
",6,9,6,1,7,9,14,10,11,13,19,16,16,14,19,17,16,25,17,3,14,15,19,"17
",8,10,15,13,15,11,12,8,10,13,9,2,10,11,13,12,10,11,15,13,13,13,16,"12
",16,21,16,3,14,15,20,20,9,11,14,12,14,11,11,9,11,15,10,2,9,11,15,"18
",12,12,14,17,17,13,16,14,12,19,11,3,10,15,14,16,6,4,6,7,7,4,8,"7
",5,9,5,1,5,6,8,10,11,12,14,15,16,12,17,16,12,18,13,3,15,14,18,"22
",9,11,12,12,15,11,16,14,10,16,11,2,15,11,16,16,9,10,12,12,14,10,14,"13
",11,17,14,2,13,12,15,17,9,10,12,10,10,10,9,9,11,16,13,2,11,10,12,"12
",12,13,16,12,10,10,8,9,12,16,12,2,11,10,12,11,8,9,11,10,9,10,9,"9
",10,14,10,2,8,11,17,16,11,13,14,12,11,12,9,10,12,17,14,2,10,13,17,"16
",6,6,7,6,5,6,5,5,6,8,7,1,5,7,14,12,1,1,1,1,1,1,1,"2
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,58,54,52,53,49,50,16,23,25,17,6,15,20,20,20,63,52,56,51,50,77,20,21,25,26,18,7,16,19,20,"21
",83,62,59,58,56,91,23,23,29,32,22,8,21,25,26,27,43,35,36,33,31,50,13,"14
",16,19,12,4,11,14,15,15,52,42,36,35,36,61,17,16,19,22,15,5,14,17,18,"17
",3,3,3,2,3,3,3,3,4,10,8,1,2,2,2,2,5,5,5,5,5,5,5,"6
",8,13,10,1,7,9,13,11,10,9,9,9,9,9,6,8,7,10,9,2,10,16,16,"15
",11,10,9,10,11,10,10,12,12,16,12,2,9,18,18,15,8,7,6,7,8,6,7,"7
",7,9,6,1,7,10,12,11,13,14,15,12,15,13,12,16,21,26,17,3,14,16,17,"19
",6,8,7,7,7,7,7,8,12,15,10,2,13,16,15,14,10,11,13,10,12,11,13,"16
",20,26,17,2,11,14,13,13,8,8,9,9,11,8,8,9,13,16,12,2,7,10,10,"10
",14,15,16,14,17,13,10,13,18,24,17,3,14,18,16,15,7,8,11,10,10,7,8,"7
",6,9,6,1,7,10,14,10,12,14,19,16,16,14,19,18,16,25,17,3,15,15,19,"17
",9,10,15,13,13,11,12,9,10,14,9,2,10,12,13,12,10,12,15,12,14,13,16,"12
",16,21,17,3,12,15,20,20,9,10,14,13,13,11,11,10,12,16,11,2,9,13,16,"18
",11,12,15,17,17,13,17,14,13,20,12,2,12,13,14,16,6,5,6,7,7,5,8,"7
",5,9,5,1,5,6,8,11,12,12,14,14,16,12,16,16,13,18,13,3,15,13,18,"21
",10,10,12,12,14,10,16,14,10,16,11,2,13,11,16,15,10,11,13,14,14,11,15,"13
",11,17,13,3,13,12,15,17,9,11,12,11,10,11,10,10,12,17,13,2,12,10,12,"11
",12,13,16,12,11,12,9,10,12,18,11,2,11,11,13,11,8,9,11,11,9,11,9,"10
",10,14,11,2,9,12,17,16,11,12,14,12,11,12,10,10,13,16,13,2,10,12,17,"17
",5,6,7,6,5,7,5,5,7,10,7,1,6,8,14,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
[,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,54,53,52,48,51,17,24,25,17,6,15,20,19,19,63,51,57,51,51,78,19,19,25,28,18,7,16,19,19,"20
",83,62,60,58,56,91,23,25,29,33,22,8,20,24,26,26,44,35,36,34,31,51,13,"15
",17,19,12,4,12,13,15,15,53,40,36,35,35,61,15,16,19,22,14,5,14,16,18,"16
",4,3,3,2,2,3,2,3,5,9,9,1,2,2,3,2,5,4,5,4,4,5,5,"6
",8,13,11,1,7,9,13,10,9,8,8,10,9,8,7,6,7,10,7,2,9,15,17,"16
",11,10,9,10,11,10,10,12,12,15,11,2,9,19,18,15,7,7,6,7,8,6,7,"7
",7,9,6,1,7,10,11,11,13,14,15,12,15,14,13,17,22,26,17,3,14,16,18,"20
",6,7,7,7,7,7,7,8,12,15,10,2,14,17,15,14,11,11,14,10,12,11,14,"16
",21,26,17,2,11,13,14,14,7,8,9,9,11,8,8,9,13,16,12,2,8,10,11,"10
",14,16,16,15,15,13,11,12,19,24,17,3,14,17,18,15,8,8,11,8,10,8,8,"7
",7,9,7,1,7,9,14,10,12,14,19,16,16,15,19,18,17,25,17,3,15,16,19,"16
",9,10,15,12,13,11,12,12,13,16,10,2,10,11,13,12,10,11,15,13,13,13,16,"13
",16,21,16,3,12,15,20,20,9,11,14,13,13,12,11,10,12,15,10,2,10,12,15,"18
",12,13,15,17,17,12,16,14,12,19,12,2,11,13,14,16,5,6,5,7,7,6,8,"6
",6,9,5,1,5,7,8,11,11,13,15,15,16,11,17,15,13,18,14,3,15,14,19,"21
",10,10,13,12,14,10,16,13,11,17,12,2,13,11,15,15,10,11,13,12,13,11,15,"12
",11,18,14,2,14,12,15,17,9,10,12,11,10,10,9,10,11,16,12,2,13,12,12,"12
",12,13,16,13,11,10,9,10,12,17,11,2,12,10,13,11,9,9,11,9,9,10,9,"9
",10,14,10,2,9,11,17,17,12,12,15,12,11,13,9,10,13,18,14,2,10,14,17,"16
",5,6,7,6,6,6,5,5,7,8,7,1,6,7,14,12,1,1,1,1,1,1,1,"1
",1,1,1,1,1,1,1,1]
