"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 209 166
 153 168 142 159  47  53  85  84  55  18  46  72  62  62 180 129 132 123
 113 181  43  51  79  85  47  15  40  57  54  54 266 160 136 133 135 266
  57  66  91 109  64  20  62  85  82  84 124  93  75  71  64 141  29  34
  47  57  31   9  30  43  43  46 173 101  92  94  94 229  41  45  60  69
  42  13  43  58  58  52   8   7   9  11   7   9   6  14  24  40  26   0
   4  12  13   8  17  18  21  22  19  21  15  19  29  48  29   3  20  27
  45  40  32  35  40  36  40  32  20  21  27  38  24   5  30  52  70  60
  32  40  45  38  41  35  24  32  37  52  34   5  29  57  68  53  17  28
  26  20  30  20  29  33  25  34  19   3  20  32  40  32  49  52  53  42
  55  49  45  65  83  99  66  10  41  61  64  71  26  21  21  19  25  22
  21  30  39  48  32   4  33  60  56  47  33  35  38  42  38  40  44  62
  70  95  64   8  31  49  47  44  31  32  32  33  41  32  28  35  50  62
  48   5  23  36  40  39  53  62  49  50  56  45  37  49  70  96  66   8
  43  66  65  57  25  32  51  39  47  34  30  25  27  36  24   5  28  36
  56  39  38  43  70  63  69  52  64  56  62  90  52   8  50  59  67  62
  29  36  56  46  63  42  40  31  41  51  30   6  39  39  51  43  36  40
  60  51  63  51  53  40  61  78  48   8  47  58  71  72  29  34  50  46
  57  42  35  30  41  51  32   6  31  38  53  65  36  49  57  61  64  49
  52  54  45  74  46   9  38  49  53  62  18  25  27  31  30  25  30  28
  20  39  21   4  20  25  32  41  38  49  53  56  58  47  62  65  41  74
  47   8  53  50  64  69  34  44  49  52  52  41  60  57  38  75  42   8
  51  48  62  58  33  41  47  46  47  40  50  50  39  72  46   8  47  49
  57  61  37  42  58  48  41  42  37  36  52  79  47   9  44  46  50  49
  41  45  61  46  42  40  32  33  49  67  41   6  35  42  44  42  31  34
  43  38  34  40  32  31  42  54  38   6  30  45  68  64  42  50  60  51
  43  52  36  35  58  64  54   7  34  48  67  63  20  22  29  23  20  24
  17  17  25  33  25   2  18  27  50  40   0   0   1   0   0   0   0   4
   0   0   0   0   0   0   0   0]"
"[  0   2   0   0   0   0   0   1   0   0   0   0   0   0   0   0 210 166
 153 166 143 160  48  55  84  85  55  17  46  73  62  64 180 128 134 122
 112 179  43  50  80  90  48  15  42  58  55  55 264 157 134 134 131 263
  58  70  89 107  68  21  63  88  79  87 126  91  73  71  64 141  29  35
  49  57  30   9  31  42  42  49 173  99  92  94  93 226  41  46  60  74
  42  14  46  59  65  52   8   8   8   9   7   9   7  10  19  41  26   0
   6   6   8   8  15  18  19  22  19  19  19  22  28  47  28   3  20  27
  43  40  33  36  41  37  36  34  18  23  25  41  26   5  31  55  64  64
  32  38  48  37  39  34  25  32  37  53  38   6  30  63  67  52  27  20
  23  22  26  25  29  30  25  37  23   4  19  35  41  34  46  53  55  45
  60  52  43  65  82 104  66   9  43  61  64  71  19  20  21  19  26  23
  23  27  36  46  29   5  35  59  53  49  33  37  40  34  39  38  46  61
  73  96  65   8  29  47  46  47  28  31  30  38  40  34  28  34  48  62
  47   5  24  38  40  39  53  64  49  55  56  44  39  50  73  96  72   9
  43  65  67  55  24  32  47  41  47  32  30  22  27  35  23   5  28  36
  61  38  44  43  69  60  67  51  62  64  64  91  57   9  50  49  68  56
  31  34  61  49  63  42  40  33  44  51  31   6  39  42  53  46  36  41
  61  52  62  53  53  41  63  72  56   9  46  61  76  73  30  34  51  49
  58  44  35  32  43  51  31   7  34  39  56  65  36  49  56  61  63  48
  51  53  43  75  45   8  38  49  53  63  18  25  27  26  29  23  31  34
  22  38  20   5  20  25  32  48  38  50  57  55  58  47  62  65  44  74
  49   8  53  51  68  72  34  44  49  51  53  41  57  54  39  72  42   7
  51  44  60  60  33  40  47  46  47  39  59  49  43  79  48   7  47  50
  56  61  37  42  58  47  41  42  35  39  52  79  47   7  44  47  48  49
  41  45  61  50  39  40  28  32  49  68  41   6  33  39  44  41  31  33
  46  38  34  41  30  31  42  54  38   6  30  45  66  63  42  48  62  49
  41  48  34  38  52  64  55   8  34  52  67  64  20  22  29  26  26  23
  16  19  25  33  25   4  18  29  49  41   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 211 169
 168 174 150 167  54  55  86  86  56  18  46  73  64  64 182 135 144 125
 126 195  48  53  83  86  50  16  42  59  53  54 268 163 143 137 140 284
  63  72  94 106  65  22  62  85  79  85 124  91  79  73  67 145  31  35
  50  57  30  10  30  42  42  46 173 103  96  97  99 234  42  45  62  70
  43  14  45  58  58  54   9   7   8   9   7   9   9  10  19  40  29   0
   6   9  12  11  16  18  20  25  20  19  13  18  28  47  28   2  20  27
  43  40  31  33  40  35  36  40  18  25  25  36  27   5  30  62  64  60
  32  40  45  38  42  37  24  31  35  54  34   6  29  57  67  50  17  23
  23  22  31  23  20  28  27  32  19   4  19  34  40  33  45  49  52  42
  58  47  43  66  82  98  64  10  41  61  65  68  19  20  23  19  23  21
  21  27  36  47  29   4  33  60  53  45  33  36  40  33  38  35  51  60
  71  96  63   7  30  49  46  44  28  32  31  34  41  32  29  34  48  61
  46   4  22  35  40  38  50  59  53  49  54  46  37  43  70  98  68   8
  43  70  66  57  24  33  46  41  47  29  29  22  26  35  24   5  27  37
  55  36  38  44  68  60  67  51  62  55  62  87  51   9  49  49  67  59
  31  34  56  47  64  42  40  30  43  51  30   7  39  40  51  43  37  40
  58  50  66  55  53  40  61  79  49   7  46  55  72  75  29  34  50  46
  57  40  36  29  42  51  31   6  32  38  53  65  36  49  56  61  63  48
  57  51  41  74  45   7  42  49  53  61  18  27  27  26  29  26  33  31
  20  38  20   3  20  26  32  42  38  49  53  54  59  47  66  67  41  74
  47   9  53  51  68  80  34  49  49  51  52  41  57  54  46  72  42   7
  51  45  61  58  33  41  47  46  48  39  49  49  39  72  46   7  46  53
  57  64  37  42  61  47  41  42  40  37  54  83  47   7  44  46  52  49
  41  45  61  47  39  40  29  32  49  65  40   7  34  39  48  41  31  33
  43  38  34  40  31  30  42  56  38   6  32  49  68  63  42  48  59  54
  41  48  34  35  52  67  54   7  34  50  67  63  20  22  29  23  20  23
  17  17  25  33  25   2  18  27  49  41   4   0   4   8   0   0   0   1
   0   0   1   0   0   0   0   0]"
"[  0   0   0   0   0   0   0   4   3   3   1   0   0   0   0   0 227 198
 187 194 168 191  57  61  86  92  64  20  50  73  70  70 208 178 195 168
 156 253  61  63  91  97  59  21  50  68  69  66 305 211 206 190 188 332
  73  77 104 118  73  28  67  96 103  88 156 115 117 105  92 172  38  43
  53  68  37  13  35  45  47  49 225 130 123 128 120 247  48  54  70  83
  52  17  47  63  69  60   9   8   9   8   7  10   7  10  19  40  26   3
  10   6   8  10  15  17  19  23  25  22  15  22  27  47  28   3  21  30
  43  43  31  33  40  35  35  32  18  21  25  36  24   5  30  52  64  57
  33  41  45  41  40  35  23  30  35  52  35   6  29  59  67  48  17  24
  24  25  30  20  21  26  28  31  21   3  19  34  40  30  45  53  51  47
  59  48  43  60  82 102  62  10  41  61  64  68  19  22  23  19  26  21
  25  28  37  46  29   4  35  60  53  48  33  36  38  36  39  34  45  58
  70  96  60   6  29  45  47  48  28  30  30  33  40  30  29  34  48  63
  46   5  22  35  40  38  50  59  47  48  58  44  35  44  70  95  66   8
  45  66  65  55  26  32  46  36  46  30  33  22  26  35  21   4  26  34
  55  41  46  47  68  61  67  51  62  55  61  87  51   9  49  49  67  62
  32  34  56  46  63  42  41  30  42  51  31   5  39  39  51  43  38  43
  57  51  62  56  53  39  63  84  51   9  46  55  71  82  29  35  52  46
  61  41  40  29  41  53  34   6  33  39  53  66  36  49  56  61  63  48
  57  51  41  74  45   8  38  49  53  61  18  25  27  26  29  23  31  28
  20  38  21   3  20  25  32  41  38  51  53  54  58  47  66  65  42  74
  49   8  53  50  66  72  34  44  49  50  52  41  60  54  37  72  45   8
  52  44  59  58  39  41  47  46  47  40  57  49  43  73  50   7  47  48
  59  65  37  42  58  47  41  42  37  37  54  79  50   6  44  46  49  54
  41  48  62  46  39  40  29  32  51  65  40   6  33  40  44  42  34  33
  43  38  34  40  30  30  42  54  39   5  31  45  70  66  42  48  59  49
  44  49  34  39  52  64  56   8  34  48  72  64  21  22  29  23  20  23
  16  17  25  33  25   3  18  27  50  42   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0]"
"[  2   0   0   0   0   0   0   9   0   0   0   0   0   0   0   0 218 199
 186 202 166 185  56  60  91  91  65  20  55  78  72  65 208 180 192 167
 160 252  62  66  93 102  61  21  51  72  69  66 304 214 208 196 192 338
  76  82 108 115  81  26  70 102  93  96 158 118 118 109  96 177  41  44
  62  68  40  13  36  50  51  50 231 134 130 131 117 251  56  58  72  81
  55  18  51  71  63  60  10   7  11   9   7  10   8  10  19  40  27   0
   5   7   8   7  19  21  24  31  27  26  21  20  31  47  29   4  19  31
  50  45  31  33  40  35  35  32  19  21  26  37  26   6  30  56  64  60
  36  40  45  39  39  34  27  31  37  52  37   5  29  64  67  48  19  26
  27  24  29  20  20  28  23  38  19   4  19  45  40  31  51  57  56  50
  64  53  45  62  90 105  67   9  43  62  65  71  25  27  21  26  25  26
  24  28  37  53  39   5  35  68  58  45  35  39  39  38  42  37  48  58
  70  96  62   7  29  46  46  45  28  30  32  33  40  33  28  34  48  62
  46   5  22  35  40  38  53  61  48  50  54  48  35  43  70  98  70   9
  43  69  70  57  25  32  46  36  46  31  33  22  26  35  21   5  26  34
  55  36  41  49  73  58  67  55  65  61  63  88  56   8  49  49  67  58
  35  41  56  48  63  43  44  30  47  54  32   7  39  40  53  44  41  45
  58  53  64  54  54  40  66  78  56  10  46  55  77  81  33  39  50  46
  59  40  35  30  49  55  33   7  35  41  53  66  42  49  56  61  63  48
  54  51  42  74  46   8  38  49  53  64  21  27  27  27  29  30  33  28
  20  38  23   3  20  25  32  41  42  52  56  54  58  49  64  68  44  74
  49   8  53  50  67  73  35  44  49  50  53  43  59  55  41  72  46   7
  51  44  62  60  37  48  47  53  47  41  49  49  44  72  46   8  46  48
  56  67  38  45  58  47  43  44  39  38  53  80  48   7  44  48  49  49
  41  45  61  46  39  40  32  32  49  65  40   6  33  42  44  43  31  33
  43  38  34  40  30  30  42  54  38   5  31  45  66  63  44  48  59  49
  42  49  36  35  53  64  54   7  35  49  67  63  25  27  29  27  20  23
  20  21  25  39  29   4  21  29  54  42   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0]"
"[  0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0 228 194
 186 203 163 184  59  63  91  94  62  21  51  77  73  69 214 180 196 173
 160 253  64  68  89 101  57  21  48  69  68  73 310 214 211 199 197 344
  79  85 111 122  79  27  73  99  96  97 152 115 124 106  99 175  39  43
  59  72  37  13  41  48  50  57 234 135 134 132 127 253  54  55  72  81
  52  18  51  67  69  62  11   9  11  18  16   9  10  10  20  40  26   0
   4   7   9   7  20  20  25  31  20  23  18  20  30  47  32   3  23  34
  48  47  37  33  40  35  35  32  18  21  26  36  25   5  30  57  64  57
  33  40  45  43  40  34  23  30  35  52  36   5  29  65  67  48  19  23
  26  26  29  25  23  28  25  33  22   3  20  36  41  33  51  57  57  48
  63  51  45  61  88 110  64  10  43  62  65  73  21  24  24  23  27  23
  26  32  40  52  36   5  33  62  59  46  37  39  43  37  40  38  44  58
  72  97  61   7  31  46  46  46  28  30  33  34  41  31  28  34  48  61
  47   5  22  37  44  38  60  66  52  54  58  46  41  44  71  97  70   9
  44  69  70  60  30  35  46  36  49  32  38  27  26  35  21   5  26  37
  56  43  40  49  68  59  67  54  72  59  66  96  54   9  49  50  69  61
  34  38  56  50  63  43  44  33  47  58  31   6  39  42  53  43  38  45
  57  50  67  50  58  41  67  81  53   9  46  55  73  76  34  40  51  47
  56  42  40  30  45  59  36   7  35  47  56  67  41  51  56  61  63  51
  58  51  41  74  45   9  38  49  57  64  18  27  27  26  29  24  34  30
  21  38  20   3  20  25  34  41  42  53  55  54  60  50  66  65  42  85
  48   9  53  50  69  75  46  44  55  50  52  44  57  57  40  74  44   7
  51  45  61  61  35  43  49  46  48  39  53  52  38  73  49   7  46  54
  59  67  37  47  58  47  45  45  42  40  55  81  51   7  46  47  51  51
  43  45  61  46  40  43  31  33  49  65  41   6  35  40  45  41  34  33
  43  38  35  41  32  34  44  54  39   6  30  45  69  67  44  48  60  56
  41  52  37  35  52  67  57   7  35  49  68  64  24  22  29  23  21  24
  17  18  25  33  25   3  20  28  51  44   0   0   0   0   0   0   2   0
   1   0   0   0   0   0   0   3]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 227 202
 192 204 170 186  60  64  94  95  67  21  53  78  72  71 220 177 194 176
 162 258  63  66 105  98  64  21  55  72  68  64 311 219 209 199 195 346
  79  83 111 122  80  28  72  97  94  98 158 118 114 110 101 181  47  46
  53  70  43  13  44  48  55  53 236 138 131 133 127 254  53  56  72  81
  55  18  52  67  68  62  13   9  11   8  10   9   8  10  19  40  26   1
   5   7  10   7  21  19  26  32  23  25  13  22  30  47  35   3  21  39
  46  51  31  33  40  35  35  32  18  21  25  36  26   5  30  57  64  57
  34  42  45  37  39  34  23  30  35  52  39   5  29  69  67  56  21  22
  28  27  27  23  21  27  25  33  21   3  21  36  40  32  50  57  61  47
  61  49  45  65  90 100  68  10  44  63  66  72  21  22  23  23  25  23
  24  28  39  47  33   5  42  61  57  49  35  37  42  35  42  35  48  58
  71  99  63   8  32  47  46  48  28  30  30  34  40  30  30  34  48  61
  46   7  22  35  40  42  54  63  52  55  57  49  39  44  72  98  72   9
  45  69  69  60  30  40  46  37  47  29  33  23  27  39  21   5  27  34
  58  40  43  48  68  60  67  52  67  61  68 101  58   9  51  50  68  61
  32  35  56  47  63  44  40  32  48  59  31   7  44  39  54  48  41  44
  58  54  62  50  53  43  65  80  52   9  50  56  73  75  31  38  51  48
  56  43  39  35  43  56  40   8  45  44  61  70  36  53  58  61  63  49
  54  53  43  74  47   8  38  49  57  64  20  28  28  26  30  24  33  31
  22  39  23   3  21  25  36  43  46  52  54  55  58  47  64  70  42  74
  51   9  53  50  69  73  34  44  50  50  52  43  60  56  40  77  45   7
  51  45  64  60  33  43  47  46  47  44  51  53  39  72  52  10  49  51
  56  65  38  52  65  47  41  43  39  41  54  79  47   7  45  46  49  50
  41  45  61  46  39  40  31  32  49  65  43   8  35  39  44  43  31  33
  43  38  34  40  30  31  46  57  38   6  30  48  72  63  44  50  60  49
  43  49  36  36  52  65  58   8  35  48  70  66  21  22  29  23  21  23
  16  17  25  33  26   3  18  30  56  40   0   0   0   0   0   0   0   0
   0   0   9   0   0   0   0   0]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 233 205
 193 206 172 186  61  64  95  96  64  21  52  74  74  73 220 185 198 177
 166 257  62  69 100 102  62  21  54  74  71  71 312 219 213 202 197 346
  79  85 112 122  77  27  72 100  99 101 157 117 123 111 102 187  44  42
  61  70  40  14  38  52  52  56 238 139 135 134 130 257  56  57  69  84
  56  18  45  68  69  69   8   9  15  11   9  10   7  10  20  40  27   1
   6  10   9   8  20  22  25  34  24  27  17  24  28  47  28   5  23  35
  45  47  31  34  40  36  35  32  18  21  25  37  25   5  31  57  64  57
  34  43  48  53  39  35  27  30  35  54  38   6  29  67  67  49  24  26
  28  27  38  21  23  27  25  34  22   4  21  38  40  33  47  49  53  47
  63  51  45  63  86 103  67  10  44  64  67  72  19  21  24  22  25  24
  24  30  37  48  34   5  35  64  56  45  36  37  40  37  42  39  49  58
  73 100  64   7  31  47  46  50  28  32  33  33  40  38  34  34  49  68
  52   5  23  39  40  39  53  62  52  54  58  49  40  49  70  97  70   9
  45  69  65  55  24  35  46  36  46  33  35  23  26  36  22   5  27  36
  60  41  45  50  68  60  67  54  73  63  65  98  56   9  49  51  68  60
  34  41  56  46  67  43  42  35  45  56  32   6  40  42  56  48  38  44
  57  50  62  52  53  41  64  81  52   9  46  56  74  81  37  35  50  47
  59  40  35  33  46  63  32   7  39  43  57  66  39  49  57  61  66  50
  54  52  44  74  47   8  38  51  58  63  21  29  28  27  30  27  31  29
  23  41  20   4  20  25  32  41  42  52  53  54  58  50  62  66  45  74
  51   8  53  52  67  72  36  46  49  50  52  44  57  54  38  72  43   8
  51  45  59  63  34  44  49  46  49  44  54  49  38  72  51   7  46  53
  56  66  37  43  58  47  42  43  39  37  52  79  50   7  44  48  48  49
  41  45  61  46  40  44  33  32  51  65  50   6  33  42  44  41  33  35
  43  38  34  40  32  30  42  54  40   6  30  45  66  63  44  49  59  49
  42  50  36  35  52  64  57   7  36  51  67  64  20  22  29  23  20  23
  16  17  28  33  25   3  18  27  51  43   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 234 206
 195 208 172 189  61  66  96  91  65  20  57  74  71  73 219 184 207 178
 166 257  65  66  96 102  62  21  54  71  72  69 312 192 210 202 193 346
  79  79 116 130  78  27  74 102 100  99 165 120 124 111 105 182  42  44
  62  72  42  14  37  52  52  56 243 140 132 132 129 254  53  57  74  82
  58  18  54  69  72  65   9   9  13   8   9  11   7  11  20  40  28   1
   5   6  10   8  21  21  29  33  25  24  14  23  32  49  31   3  25  33
  48  48  31  34  40  37  38  33  18  22  26  38  27   5  30  61  64  57
  36  42  46  43  41  36  27  33  38  53  36   6  31  68  67  49  24  24
  26  26  28  20  23  36  23  34  20   3  21  47  46  37  51  55  56  50
  65  54  46  64  90 104  67  10  45  65  67  73  25  23  29  20  27  29
  21  29  43  52  39   5  37  66  56  49  36  39  42  37  44  40  51  59
  75 102  66   7  29  45  47  51  34  30  37  37  42  33  31  34  49  65
  46   5  24  39  40  39  51  63  47  57  55  50  36  44  71 100  72   9
  51  71  69  62  27  36  46  39  46  32  35  25  28  38  23   5  27  34
  63  42  44  47  68  62  67  51  64  67  71  95  54  10  51  49  73  61
  37  38  56  49  63  44  44  35  47  60  34   6  41  45  58  49  40  46
  58  51  62  55  54  43  70  80  51   9  48  58  73  80  32  42  56  51
  59  51  41  34  47  55  38   7  42  45  59  69  41  53  56  61  63  49
  57  54  46  74  48   8  41  49  57  61  24  30  27  27  29  30  37  28
  22  39  34   3  20  29  38  42  40  49  56  57  58  49  65  67  42  74
  49   9  53  54  70  71  35  45  49  50  56  47  62  56  37  76  42   9
  51  49  60  58  38  45  50  52  54  39  53  52  41  72  49   7  46  53
