"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 72 60 58 62 51 27 17 20
 18 17 17  4 18 11 38 38 58 54 61 70 69 34 16 22 20 19 18  4 18 12 41 41
 82 63 72 78 68 40 20 27 25 23 23  6 26 16 50 52 48 39 49 47 43 29 11 17
 16 15 14  3 15  9 31 31 59 54 55 43 43 32 14 21 18 16 17  4 20 12 42 43
  5  2  3  5  4  2  1  3  2  2  3  1  3  3  7  8  7  7  8  6  7  5  5  9
 10  7  9  1  8  9 24 27 12 12 13 13 12  8  7 11 10  7 10  1 11 15 35 46
 13 14 15 13 13 11 11 16 15 11 19  1 12 10 28 34  7  8 11  7  6  7  7  8
  7  5  6  1  7  7 20 20 13 14 16 16 16 19 14 20 26 16 19  2 18 15 44 44
  7  9 11 11  9  8  8 10 13 10 13  1 13 15 37 35  9 10 12 10 10 10 11 17
 19 17 15  2 12 10 28 30 13 13 15 14 14 12 10 12 15 11 10  1 11  9 27 27
 19 19 20 20 18 16 12 15 20 20 15  2 15 13 42 41 11  9 14 10 10  8  7 10
  9  8  8  1  9 10 33 31 17 14 18 15 14 13 14 22 18 12 12  2 15 13 36 38
 11 11 15 16 13  9  8 10 10  7  8  1 11 10 24 24 15 16 19 17 15 14 12 15
 17 12 14  2 16 20 45 50 13 11 17 15 17 10  9 11 13 10 10  2 14 14 32 41
 11 13 16 13 16 11 16 14 12 14 16  2 13 14 32 35  8  9 10  9  9  8 10 10
  8  9 11  1  8  8 22 26 12 14 16 15 16 13 15 22 13 18 20  2 16 14 41 36
  9 11 14 12 12 11 12 18 10 12 13  1 13 10 32 29 12 13 17 14 14 12 13 20
 12 13 17  2 17 14 36 35 11 13 15 15 14 12 12 16 17 15 12  2 12 11 28 27
 10 10 15 13 10  9  7 10 12 13 11  1 10  8 20 19  9 11 14 12 12 13  9 13
 13 11 13  1 13 12 35 33 15 15 18 15 14 15 10 15 15 12 15  2 14 13 35 33
  8  9 11 10  7  9  7  8  9  8  9  1  9  8 28 27  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1]"
"[ 1  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1 70 58 58 63 52 28 15 19
 19 17 17  4 19 11 39 38 59 54 61 69 68 33 17 23 21 19 18  5 20 12 40 40
 82 63 72 77 68 39 19 27 24 23 23  6 27 16 50 53 50 39 48 44 45 30 12 18
 16 14 15  4 16  8 30 32 60 55 55 44 42 31 14 21 19 16 17  4 19 12 42 43
  3  2  3  4  4  2  1  2  3  2  2  1  3  3  7  8  7  6  8  7  7  7  6  9
 10  8  9  1  9  9 26 27 12 12 13 13 12  8  7 10 10  7 10  1 11 15 35 45
 13 12 15 15 12 11 11 17 16 11 19  2 11 10 29 32  7  8  9  7  7  6  7  8
  8  6  7  1  7  7 20 20 13 14 16 19 15 15 15 20 25 17 19  2 17 15 38 44
  8  8  9  9  9  8  8 11 13 10 13  2 11 15 37 35  9 11 12  9  9 11 11 16
 19 17 15  1 11 10 26 28 13 14 14 14 15 12  9 11 15 10 10  1 11  9 28 26
 19 19 20 21 17 17 13 15 21 17 15  2 16 13 41 40 11 12 14 11 12  8  9 11
  9  7  8  1 10 10 33 32 17 13 17 15 15 12 14 22 18 13 11  2 15 13 36 38
 11 10 15 16 13 12  8 11 11  7  8  1 10 10 26 25 15 13 19 16 15 13 12 15
 18 12 13  2 17 20 45 49 13 11 17 16 17 11  9 11 12  9 10  2 12 14 33 43
 11 12 16 14 14 13 16 14 12 14 16  2 14 14 32 36  8  9 10  9 11  8 10 11
  8  9 11  1  8  8 22 25 13 12 16 16 16 13 15 23 14 18 20  2 18 14 41 37
 10 11 14 12 12 10 12 18 10 12 13  1 14 10 33 30 13 13 17 14 13 14 13 20
 12 14 17  2 17 14 36 35 12 13 15 15 14 12 12 15 17 15 12  1 14 11 27 27
  9 10 15 12  9  9  7 10 12 12 11  1 10  8 20 19 11 10 14 12 11 13  9 14
 13 10 13  2 13 12 33 36 16 15 18 16 15 17 10 15 15 12 15  2 15 13 35 33
  8  8 11  9  8  8  6  9  9  7  9  1  9  8 28 27  1  1  1  1  1  1  1  1
  1  2  1  1  1  1  1  1]"
"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 70 58 58 64 53 28 16 21
 18 17 16  4 18 11 41 38 56 54 61 70 68 34 16 22 21 19 18  5 21 12 40 41
 82 63 72 77 69 39 19 28 22 24 22  6 26 16 50 52 49 40 48 44 43 29 12 18
 15 15 14  3 16  7 31 31 60 54 55 43 42 32 13 20 18 16 16  4 21 12 42 40
  3  3  3  4  4  2  1  2  2  2  2  1  3  3  7  8  7  8  9  8  6  5  5 10
  9  7  9  1  8  9 23 26 12 11 13 13 12  9  7 10  9  8 10  1 14 15 34 43
 12 14 18 13 11 10 11 17 15 13 19  1 11 10 29 32  7  8  8  7  7  6  8  9
  7  4  7  1  6  7 19 20 14 15 16 16 16 17 14 20 24 16 19  2 18 15 39 44
  8  8  9  8  8  8  8 11 13 10 13  1 14 15 36 35  9 10 11 10 10 10 11 18
 19 17 15  1 12 10 27 28 13 13 15 14 15 11 11 11 14 11 10  1 12  9 26 25
 18 18 19 19 18 16 12 15 20 17 15  2 17 13 40 41 11 11 14 11 10  8  8 11
 10 10  8  1 10 10 33 30 17 14 17 15 15 13 14 23 18 11 12  2 13 13 36 38
 12  8 15 16 13 10  9 11 10  8  9  1 11 10 27 25 15 13 19 17 16 12 14 15
 17 12 13  2 19 20 43 51 13 12 17 15 17 10  9 11 13 10 10  1 13 14 32 40
  9 11 16 14 14 13 17 14 14 13 17  2 13 14 32 34  9  8 10  8  9  8 11 12
  7  8 11  1  9  8 23 27 12 14 16 14 16 13 15 22 13 18 20  2 17 14 41 36
 10 12 14 11 11 12 12 19 12 13 13  2 12 10 32 29 12 13 17 14 14 12 14 20
 12 14 17  2 16 14 36 35 12 13 15 17 16 12 12 15 17 15 13  1 12 11 28 27
 11 10 15 11 10  9  7 10 13 12 11  1 10  8 20 19 11 10 14 12 11 13  9 14
 13 10 13  1 13 12 34 34 16 15 18 16 14 14 10 15 15 13 15  2 14 13 34 33
  7  7 11  9  8  8  6  8 11  7  9  1  9  8 27 27  1  1  1  1  1  1  1  1
  1  1  1  2  1  1  1  1]"
"[ 2  1  1  1  1  1  1  1  1  1  1  2  1  3  1  1 69 58 58 63 52 28 15 20
 19 15 16  4 18 11 39 40 58 57 61 69 68 33 16 22 21 18 18  4 19 11 40 42
 83 63 72 78 69 40 19 27 24 23 23  6 25 16 51 53 49 39 50 42 43 29 11 19
 14 15 14  3 15  7 31 32 60 55 55 48 42 32 15 21 19 16 18  4 20 12 41 43
  3  5  4  4  4  2  2  2  2  2  2  1  3  3  7  8  6  7  7  7  8  5  5  9
 10  6 10  1  8  9 21 28 13 12 14 13 12  9  7 10 10  7 10  1 11 15 34 46
 13 14 16 13 13 10 11 17 15 12 17  2 10 10 29 34  7  8  9  7  7  6  7  8
  6  5  6  1  7  7 18 20 13 14 17 15 15 16 14 19 25 15 19  2 16 15 38 44
  7  8  9  9  9  8  8 11 13 10 13  1 13 15 37 35  8  8 13 10 10 10 11 17
