"[  0   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0  52  51
  63  62  58  60  55  64  68 224 225  19 190 238 220 102  51  49  63  61
  61  63  61  72  72 266 183  20 218 305 208 106  69  68  79  81  75  79
  74  85  89 311 272  25 297 299 237 130  40  43  47  49  45  54  48  55
  50 168 126  14 163 189 206  90  60  62  70  78  71  70  70  82  77 210
 206  23 342 303 256 160   7   9   5  27   8   6   4   7   7  11   9   0
  12  12  11   9  11  15  12  17  16  11  19  27  20  37  30   2  40  43
  35  31  13  22  17  27  20  14  15  21  15  35  27   3  40  39  41  37
  25  40  39  49  39  33  33  60  32  59  43   7  50  58  58  50  14  27
  17  24  25  17  18  22  17  35  27   2  36  39  42  37  38  33  31  45
  41  37  30  29  65  70  58   6  47  50  50  51  17  17  17  22  22  17
  21  19  30  62  54   3  52  58  50  42  21  21  24  30  32  24  38  27
  65  86  55   5  42  45  45  45  30  36  27  36  38  28  21  20  41  45
  38   4  33  32  39  34  56  39  41  72  70  39  32  30  62  89  65   7
  56  59  59  54  23  32  24  25  34  20  19  23  18  38  29   3  37  40
  41  44  49  49  44  48  60  47  63  70  53  99  63  10  61  63  62  69
  23  34  35  39  66  33  35  30  40  46  34   5  41  41  45  44  29  45
  38  41  49  51  51  49  49  83  57   8  57  65  68  80  28  51  46  49
  68  42  36  47  40  66  47   7  51  54  51  74  55  35  44  64  62  52
  42  72  40  75  47   8  51  48  57  64  29  24  26  34  35  25  28  41
  23  43  28   4  33  26  37  37  43  45  53  65  65  44  53  85  48  86
  60   9  66  60  69  65  31  37  47  59  59  37  51  80  44  79  53   7
  56  53  61  54  32  36  48  49  51  34  44  65  46  75  63   6  57  59
  62  54  32  35  63  56  41  39  33  43  57  66  52   7  50  50  52  52
  44  40  69  46  31  33  27  31  48  65  47   6  43  45  48  37  20  23
  38  32  26  35  25  28  36  51  43   5  42  45  57  52  43  38  65  53
  38  55  34  39  52  72  57   7  51  54  64  60  21  22  39  30  21  30
  20  25  37  44  39   5  34  42  51  52   0   0   0   0   0   0   0   0
   0   0   0   0   0   1   1   0]"
"[  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  54  54
  65  61  59  62  56  64  66 222 225  19 200 243 219 101  52  54  61  63
  57  57  62  70  71 265 181  20 226 306 204 106  69  70  81  81  81  79
  70  83  89 308 276  25 301 298 236 137  45  45  48  51  46  50  44  51
  52 175 130  15 162 188 205  91  62  64  73  80  73  72  66  77  80 211
 203  23 340 302 255 156   7   9   9  27   8   7   4   8   7  11   9   0
  12  12  11  10  11  13  15  22  13  15  19  23  20  40  27   1  37  38
  38  30  19  23  21  32  20  18  18  26  19  36  26   3  43  41  41  43
  32  46  33  51  35  33  35  62  33  61  45   7  53  55  59  56  17  27
  16  23  25  16  17  24  18  35  27   3  36  46  40  35  38  34  34  45
  41  34  32  29  69  73  57   7  50  55  53  51  18  17  21  21  21  20
  13  18  31  62  55   4  45  59  53  40  21  21  22  30  29  23  37  27
  58  86  55   5  40  41  45  46  30  34  30  41  41  24  29  19  42  47
  35   4  31  34  34  35  56  40  43  67  72  39  31  33  62  89  62   8
  53  62  61  59  22  31  24  25  34  19  21  21  18  39  29   3  39  40
  43  44  46  46  41  48  61  49  63  73  54  97  70   8  60  59  57  67
  28  38  33  39  68  36  33  36  34  52  36   5  40  42  44  44  29  39
  38  41  50  51  51  50  51  83  58   8  59  65  71  81  31  42  39  49
  68  40  37  46  41  71  47   6  48  50  56  74  53  35  46  64  63  46
  45  72  39  75  48   8  51  50  59  63  29  23  24  35  31  18  28  45
  19  52  23   3  30  24  31  39  41  45  50  65  68  40  53  84  45  88
  63   8  70  59  71  67  33  37  47  59  59  36  51  79  39  79  54   7
  59  53  64  52  37  36  47  51  52  36  50  66  37  77  64   6  57  55
  61  61  33  32  63  56  39  40  33  41  57  66  53   7  46  54  53  53
  42  40  68  47  32  38  27  31  48  66  48   6  42  46  43  37  24  23
  37  35  29  38  25  28  35  54  45   4  42  46  57  51  42  38  65  55
  39  53  36  39  53  73  59   9  52  56  71  57  21  22  39  33  23  33
  19  24  31  51  39   4  35  37  52  51   0   0   4   0   0   0   0   0
