"[0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 1.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0
387.0  355.0  388.0  343.0  304.0  307.0  335.0  361.0  349.0  313.0  359.0  81.0   386.0  391.0  439.0  378.0
376.0  371.0  483.0  391.0  353.0  436.0  430.0  418.0  431.0  383.0  384.0  89.0   474.0  463.0  474.0  390.0
475.0  518.0  600.0  437.0  397.0  441.0  522.0  496.0  427.0  427.0  435.0  99.0   531.0  454.0  501.0  429.0
276.0  267.0  332.0  276.0  267.0  333.0  326.0  315.0  293.0  371.0  293.0  74.0   364.0  359.0  523.0  343.0
310.0  324.0  329.0  246.0  258.0  335.0  312.0  309.0  301.0  319.0  340.0  73.0   391.0  370.0  459.0  384.0
200.0  214.0  244.0  198.0  186.0  286.0  292.0  331.0  291.0  343.0  346.0  69.0   389.0  333.0  365.0  318.0
313.0  367.0  411.0  299.0  266.0  208.0  235.0  248.0  230.0  222.0  363.0  77.0   440.0  410.0  547.0  445.0
356.0  301.0  364.0  311.0  293.0  234.0  239.0  248.0  241.0  253.0  287.0  59.0   303.0  292.0  308.0  297.0
464.0  408.0  482.0  381.0  390.0  348.0  359.0  391.0  346.0  399.0  392.0  89.0   394.0  425.0  489.0  464.0
392.0  407.0  526.0  420.0  415.0  356.0  404.0  388.0  343.0  369.0  364.0  81.0   352.0  433.0  504.0  443.0
334.0  337.0  390.0  329.0  416.0  357.0  384.0  352.0  366.0  343.0  353.0  78.0   336.0  407.0  549.0  479.0
259.0  293.0  322.0  255.0  285.0  265.0  343.0  264.0  277.0  277.0  320.0  67.0   291.0  344.0  436.0  381.0
434.0  502.0  508.0  441.0  477.0  436.0  491.0  471.0  445.0  444.0  431.0  81.0   431.0  436.0  539.0  456.0
360.0  434.0  430.0  382.0  382.0  370.0  444.0  398.0  412.0  360.0  378.0  73.0   427.0  432.0  485.0  406.0
424.0  495.0  547.0  512.0  452.0  416.0  465.0  456.0  430.0  388.0  421.0  109.0  556.0  498.0  563.0  535.0
293.0  333.0  372.0  321.0  330.0  344.0  355.0  345.0  326.0  309.0  273.0  67.0   324.0  313.0  372.0  320.0
367.0  434.0  477.0  378.0  361.0  282.0  322.0  321.0  304.0  292.0  313.0  54.0   327.0  364.0  422.0  386.0
343.0  359.0  458.0  348.0  341.0  318.0  347.0  361.0  380.0  424.0  378.0  63.0   356.0  346.0  487.0  404.0
375.0  355.0  446.0  356.0  343.0  351.0  362.0  370.0  366.0  336.0  391.0  67.0   409.0  392.0  548.0  459.0
299.0  267.0  313.0  288.0  299.0  378.0  307.0  313.0  315.0  310.0  320.0  57.0   376.0  333.0  425.0  375.0
360.0  383.0  486.0  388.0  369.0  312.0  332.0  344.0  331.0  339.0  367.0  63.0   371.0  345.0  417.0  354.0
304.0  304.0  342.0  291.0  287.0  301.0  310.0  326.0  323.0  304.0  333.0  56.0   352.0  297.0  401.0  332.0
389.0  559.0  514.0  408.0  424.0  447.0  405.0  437.0  409.0  386.0  406.0  71.0   456.0  379.0  519.0  399.0
247.0  283.0  309.0  271.0  267.0  268.0  290.0  274.0  266.0  277.0  276.0  45.0   282.0  265.0  319.0  266.0
266.0  381.0  365.0  299.0  297.0  440.0  377.0  355.0  319.0  310.0  356.0  61.0   360.0  331.0  443.0  396.0
341.0  519.0  530.0  408.0  379.0  335.0  379.0  358.0  320.0  289.0  326.0  59.0   355.0  345.0  419.0  345.0
304.0  351.0  421.0  353.0  352.0  294.0  311.0  325.0  291.0  267.0  345.0  61.0   384.0  344.0  451.0  387.0
216.0  233.0  268.0  242.0  292.0  255.0  254.0  283.0  254.0  253.0  309.0  54.0   304.0  283.0  341.0  292.0
319.0  294.0  340.0  292.0  270.0  184.0  212.0  229.0  180.0  186.0  237.0  41.0   246.0  216.0  325.0  262.0
268.0  224.0  262.0  229.0  207.0  179.0  265.0  225.0  166.0  167.0  224.0  39.0   251.0  212.0  368.0  296.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 1.0 0.0 0.0]"
